epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.38484901189804077,2.858139753341675,0.001,0.443359375,1.4929143190383911
1,0.464548796415329,2.4938137531280518,0.001,0.5071149468421936,1.2865856885910034
2,0.4791063070297241,2.3835949897766113,0.001,0.5230189561843872,1.2665590047836304
3,0.4912201166152954,2.294828414916992,0.001,0.5242745280265808,1.2388733625411987
4,0.49781811237335205,2.262892484664917,0.001,0.5062779188156128,1.2915232181549072
5,0.5104904770851135,2.2004964351654053,0.001,0.5281807780265808,1.2570692300796509
6,0.5211730003356934,2.1364336013793945,0.001,0.5287388563156128,1.2725094556808472
7,0.5230581164360046,2.109260082244873,0.001,0.5364118218421936,1.2184563875198364
8,0.5309128761291504,2.070434093475342,0.001,0.5290178656578064,1.2426563501358032
9,0.5347878932952881,2.0448575019836426,0.001,0.5361328125,1.2161742448806763
0,0.43913424015045166,2.660825490951538,1e-04,0.4912109375,1.319797158241272
1,0.5358003377914429,2.063264846801758,1e-04,0.5588727593421936,1.1607542037963867
2,0.585267961025238,1.8195090293884277,1e-04,0.5756138563156128,1.1337460279464722
3,0.6147320866584778,1.683452844619751,1e-04,0.6039341688156128,1.0803543329238892
4,0.6397277116775513,1.557931900024414,1e-04,0.6130022406578064,1.033216118812561
5,0.6606737375259399,1.4550726413726807,1e-04,0.6360211968421936,1.003231167793274
6,0.6798045039176941,1.3726533651351929,1e-04,0.5979352593421936,1.1593437194824219
7,0.6918485164642334,1.3230301141738892,1e-04,0.6330915093421936,1.0129342079162598
8,0.7050794363021851,1.2610447406768799,1e-04,0.6208147406578064,1.0895037651062012
9,0.7195671200752258,1.165547490119934,1e-04,0.6233258843421936,1.1039408445358276
10,0.7340198755264282,1.1271798610687256,1e-04,0.6336495280265808,1.0796562433242798
11,0.7524175047874451,1.0569398403167725,1e-04,0.6328125,1.1097328662872314
12,0.7639029622077942,1.0027987957000732,1e-04,0.6421595811843872,1.0927507877349854
13,0.7784255743026733,0.9431385397911072,1e-04,0.6481584906578064,1.138343095779419
14,0.7877814769744873,0.9100075364112854,1e-04,0.6111885905265808,1.1793891191482544
15,0.8025833368301392,0.837289035320282,1e-04,0.6356026530265808,1.1810306310653687
16,0.8409146666526794,0.6796026825904846,5e-05,0.6695033311843872,1.1442642211914062
17,0.8572176694869995,0.6085515022277832,5e-05,0.6671317219734192,1.2028971910476685
18,0.8691220283508301,0.5671535730361938,5e-05,0.6418805718421936,1.3553129434585571
19,0.8786524534225464,0.5236673355102539,5e-05,0.6609932780265808,1.2836724519729614
20,0.8845522999763489,0.4972050189971924,5e-05,0.6561104655265808,1.2897828817367554
21,0.8909408450126648,0.464425653219223,5e-05,0.6508091688156128,1.4105091094970703
22,0.9024960994720459,0.42640697956085205,5e-05,0.6198381781578064,1.566833734512329
23,0.9058125615119934,0.4038488268852234,5e-05,0.6714564561843872,1.3682810068130493
24,0.9129341840744019,0.37960028648376465,5e-05,0.6640625,1.4431945085525513
25,0.9181358218193054,0.34807515144348145,5e-05,0.6690848469734192,1.4571263790130615
