epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.26394227147102356,3.5453481674194336,0.001,0.38798415660858154,1.7136937379837036
1,0.2509138584136963,3.467864751815796,0.001,0.15999118983745575,1.7689621448516846
2,0.2597244381904602,3.4707846641540527,0.001,0.15999118983745575,1.7560865879058838
3,0.23966632783412933,3.469435453414917,0.001,0.38754400610923767,1.7382196187973022
4,0.2542881369590759,3.4634459018707275,0.001,0.3884243071079254,1.7265242338180542
5,0.24013496935367584,3.463826894760132,0.001,0.3884243071079254,1.7314575910568237
6,0.2682538330554962,3.4677891731262207,0.001,0.16021126508712769,1.7353291511535645
7,0.23797918856143951,3.46486234664917,0.001,0.20862676203250885,1.7382582426071167
8,0.2536320090293884,3.465675115585327,0.001,0.20994718372821808,1.7274421453475952
9,0.24866434931755066,3.4635355472564697,0.001,0.20928697288036346,1.752323031425476
10,0.24341550469398499,3.4683144092559814,0.001,0.15999118983745575,1.750683069229126
11,0.22663792967796326,3.464646339416504,0.0005,0.16065141558647156,1.739983320236206
12,0.21660886704921722,3.46173357963562,0.0005,0.3864436745643616,1.7373790740966797
13,0.26253631711006165,3.4655704498291016,0.0005,0.3871038854122162,1.7449721097946167
14,0.2599118947982788,3.4638731479644775,0.0005,0.15955105423927307,1.7466245889663696
15,0.22813759744167328,3.465182304382324,0.0005,0.38930457830429077,1.73256516456604
16,0.25606897473335266,3.4628524780273438,0.0005,0.3882042169570923,1.7369341850280762
17,0.24950791895389557,3.464215040206909,0.0005,0.1591109186410904,1.7456014156341553
18,0.2887805700302124,3.4644150733947754,0.0005,0.16043134033679962,1.7460442781448364
19,0.2225138247013092,3.4630954265594482,0.0005,0.3871038854122162,1.731697678565979
20,0.25588151812553406,3.464095115661621,0.0005,0.38864436745643616,1.7425786256790161
0,0.25400692224502563,3.498993158340454,1e-04,0.38798415660858154,1.7090181112289429
1,0.2882182002067566,3.4565813541412354,1e-04,0.3917253613471985,1.7126705646514893
2,0.3323647975921631,3.4098308086395264,1e-04,0.34859153628349304,1.7020407915115356
3,0.3396756947040558,3.3712992668151855,1e-04,0.3479313254356384,1.7004252672195435
4,0.3466116786003113,3.3372185230255127,1e-04,0.32218310236930847,1.7045820951461792
5,0.3565469980239868,3.3153469562530518,1e-04,0.37015846371650696,1.60994553565979
6,0.3631080687046051,3.2820956707000732,1e-04,0.3615756928920746,1.6527035236358643
7,0.36807572841644287,3.2339518070220947,1e-04,0.38930457830429077,1.5815479755401611
8,0.3852282166481018,3.1865549087524414,1e-04,0.4102112650871277,1.5664725303649902
9,0.4065048396587372,3.1278398036956787,1e-04,0.4183538854122162,1.5804061889648438
10,0.4302183985710144,3.044646978378296,1e-04,0.47425174713134766,1.4201719760894775
11,0.46911612153053284,2.9358603954315186,1e-04,0.5517165660858154,1.281702995300293
12,0.5073577761650085,2.8088464736938477,1e-04,0.56404048204422,1.2463136911392212
13,0.527040958404541,2.700420379638672,1e-04,0.54841548204422,1.2404499053955078
14,0.5429749488830566,2.6040048599243164,1e-04,0.5878080725669861,1.1533839702606201
15,0.5582528710365295,2.5107808113098145,1e-04,0.5543574094772339,1.1703283786773682
16,0.5713750123977661,2.454773187637329,1e-04,0.6007922291755676,1.1113661527633667
17,0.593120276927948,2.3470354080200195,1e-04,0.6062940359115601,1.0905227661132812
