epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2811884880065918,3.6913740634918213,1e-04,0.34749120473861694,1.7261189222335815
1,0.33152124285697937,3.3995440006256104,1e-04,0.22095070779323578,1.9290525913238525
2,0.36517012119293213,3.2981038093566895,1e-04,0.3558538854122162,1.638698935508728
3,0.3861655294895172,3.2246036529541016,1e-04,0.3413292169570923,1.8053045272827148
4,0.4167213439941406,3.10908579826355,1e-04,0.4463028311729431,1.4647462368011475
5,0.46396100521087646,2.9870243072509766,1e-04,0.5385123491287231,1.2633225917816162
6,0.49236103892326355,2.8251779079437256,1e-04,0.5213468074798584,1.3240209817886353
7,0.5295716524124146,2.6691670417785645,1e-04,0.6230193376541138,1.0721588134765625
8,0.5561908483505249,2.529937505722046,1e-04,0.5979313254356384,1.162255048751831
9,0.582528829574585,2.4019081592559814,1e-04,0.4368397891521454,1.6981854438781738
10,0.5987440347671509,2.3017728328704834,1e-04,0.4449823796749115,1.7436039447784424
11,0.6095229387283325,2.238469123840332,1e-04,0.5871478915214539,1.0990514755249023
12,0.6261130571365356,2.1525399684906006,1e-04,0.5554577708244324,1.2109729051589966
13,0.6487956047058105,2.0798821449279785,1e-04,0.6771566867828369,0.9310107231140137
14,0.6541381478309631,2.0137882232666016,1e-04,0.6815580725669861,0.8781633377075195
15,0.6614490747451782,1.9367648363113403,1e-04,0.5664612650871277,1.240964412689209
16,0.666229248046875,1.9087698459625244,1e-04,0.6331425905227661,1.0019924640655518
17,0.6827256679534912,1.8380612134933472,1e-04,0.6709946990013123,0.9316913485527039
18,0.6933171153068542,1.789475917816162,1e-04,0.6793574094772339,0.9006379246711731
19,0.6955665946006775,1.7358466386795044,1e-04,0.5492957830429077,1.3302189111709595
20,0.703627347946167,1.7028653621673584,1e-04,0.5400528311729431,1.4018051624298096
21,0.7111256718635559,1.6671383380889893,1e-04,0.6764965057373047,0.9177632927894592
22,0.7231230735778809,1.6301578283309937,1e-04,0.5044013857841492,1.5035151243209839
23,0.7265910506248474,1.6036728620529175,1e-04,0.5878080725669861,1.2394180297851562
24,0.729121744632721,1.5787019729614258,1e-04,0.7389965057373047,0.7320075035095215
25,0.7309963703155518,1.557989239692688,1e-04,0.6329225301742554,1.1241785287857056
26,0.7417752146720886,1.510489821434021,1e-04,0.6894806623458862,0.8989079594612122
27,0.743930995464325,1.4954731464385986,1e-04,0.62654048204422,1.0762146711349487
