epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.23123066127300262,3.616673469543457,1e-04,0.39084506034851074,1.6990634202957153
1,0.29215484857559204,3.476099729537964,1e-04,0.35497358441352844,1.7042763233184814
2,0.29543536901474,3.4482357501983643,1e-04,0.21390844881534576,1.7705987691879272
3,0.2793138921260834,3.44226336479187,1e-04,0.1608714759349823,1.7280778884887695
4,0.2798762917518616,3.439527750015259,1e-04,0.28323063254356384,1.7215996980667114
5,0.2975911498069763,3.4383442401885986,1e-04,0.20906689763069153,1.7033491134643555
6,0.28559377789497375,3.43027400970459,1e-04,0.25198063254356384,1.7087808847427368
7,0.2879370152950287,3.414761781692505,1e-04,0.37940141558647156,1.6840991973876953
8,0.2901865243911743,3.423387050628662,1e-04,0.3309859037399292,1.702013373374939
9,0.32158589363098145,3.4141898155212402,1e-04,0.2130281627178192,1.7406798601150513
10,0.3037773072719574,3.4174294471740723,1e-04,0.2535211145877838,1.6963101625442505
11,0.32111725211143494,3.405693531036377,1e-04,0.20268486440181732,1.7692421674728394
12,0.2938419580459595,3.411564826965332,1e-04,0.35079225897789,1.7097342014312744
13,0.3174618184566498,3.406843423843384,1e-04,0.26870599389076233,1.6883314847946167
14,0.30124661326408386,3.411228656768799,1e-04,0.3785211145877838,1.6788817644119263
15,0.31446245312690735,3.408071756362915,1e-04,0.38512325286865234,1.701418161392212
16,0.3270222246646881,3.409883499145508,1e-04,0.23371478915214539,1.7009438276290894
17,0.306026816368103,3.4008584022521973,1e-04,0.21500881016254425,1.6638954877853394
18,0.29843470454216003,3.39886736869812,1e-04,0.21786971390247345,1.7073086500167847
19,0.301902711391449,3.4063615798950195,1e-04,0.21720950305461884,1.715962529182434
0,0.43509232997894287,3.102625846862793,1e-04,0.20818662643432617,2.3829410076141357
1,0.5911519527435303,2.36274790763855,1e-04,0.21016725897789001,2.4491608142852783
2,0.6644483804702759,1.9798023700714111,1e-04,0.215228870511055,2.375812530517578
3,0.702315092086792,1.7579916715621948,1e-04,0.3461707830429077,2.2783491611480713
4,0.7541475296020508,1.5228952169418335,1e-04,0.6745158433914185,0.9532728791236877
5,0.7553660273551941,1.4606993198394775,1e-04,0.7504401206970215,0.7342309951782227
6,0.7862967252731323,1.2910043001174927,1e-04,0.7623239159584045,0.7590112686157227
7,0.7944512367248535,1.2368345260620117,1e-04,0.7616637349128723,0.7264264822006226
8,0.8116974234580994,1.1477477550506592,1e-04,0.7803696990013123,0.677378237247467
9,0.8258506059646606,1.0273082256317139,1e-04,0.766285240650177,0.7685067653656006
10,0.8429093360900879,0.9517328143119812,1e-04,0.7315140962600708,0.9040472507476807
11,0.8490955233573914,0.9103689789772034,1e-04,0.7636443376541138,0.7633736729621887
12,0.8551879525184631,0.8386595249176025,1e-04,0.7638644576072693,0.8006544709205627
13,0.8655918836593628,0.8021568059921265,1e-04,0.7757482528686523,0.8048588633537292
14,0.8697159886360168,0.7608446478843689,1e-04,0.7660651206970215,0.8235725164413452
15,0.8812447190284729,0.7090266346931458,1e-04,0.7632042169570923,0.8125026822090149
16,0.8865873217582703,0.6700684428215027,1e-04,0.7997359037399292,0.7562776207923889
17,0.8898678421974182,0.6304971575737,1e-04,0.7682658433914185,0.8208621144294739
18,0.9002718329429626,0.5942833423614502,1e-04,0.7552816867828369,0.8756884336471558
19,0.9290467500686646,0.4102819561958313,5e-05,0.814700722694397,0.7684072852134705
20,0.9406692385673523,0.33557358384132385,5e-05,0.8171215057373047,0.7569646835327148
21,0.94366854429245,0.31720417737960815,5e-05,0.796214759349823,0.9308698177337646
22,0.9505107998847961,0.28044748306274414,5e-05,0.7981954216957092,0.9664469957351685
23,0.9513543844223022,0.2721201777458191,5e-05,0.8129401206970215,0.9027271270751953
24,0.9536976218223572,0.270732045173645,5e-05,0.81404048204422,0.887999951839447
25,0.9558534026145935,0.24281994998455048,5e-05,0.81095951795578,0.9315013885498047
26,0.9573530554771423,0.23394809663295746,5e-05,0.8177816867828369,0.8610620498657227
27,0.9622269868850708,0.21353693306446075,5e-05,0.8153609037399292,0.9092658758163452
28,0.9632580280303955,0.21309329569339752,5e-05,0.8166813254356384,0.8965811133384705
