epoch,accuracy,loss,val_accuracy,val_loss
0,0.1722286194562912,2.902143955230713,0.2554408609867096,1.7826249599456787
1,0.25602400302886963,2.7506351470947266,0.2855747640132904,1.7018285989761353
2,0.333577424287796,2.615795135498047,0.4190848171710968,1.5037133693695068
3,0.3946716785430908,2.446972370147705,0.4607979953289032,1.3897771835327148
4,0.43397146463394165,2.3290867805480957,0.4853515625,1.3342143297195435
5,0.45611464977264404,2.2486231327056885,0.5167410969734192,1.2676374912261963
6,0.47006312012672424,2.198241949081421,0.5378069281578064,1.2277168035507202
7,0.47585171461105347,2.166522979736328,0.5355747938156128,1.2356287240982056
8,0.48833560943603516,2.137701988220215,0.5598493218421936,1.1793867349624634
9,0.49551907181739807,2.0984973907470703,0.5584542155265808,1.1768532991409302
10,0.5075147151947021,2.0796303749084473,0.5450614094734192,1.1994584798812866
11,0.5047250390052795,2.0569729804992676,0.5705915093421936,1.1456563472747803
12,0.5155002474784851,2.0419952869415283,0.5673828125,1.1464310884475708
13,0.5191617012023926,2.0224461555480957,0.5571986436843872,1.172538161277771
14,0.5240088105201721,2.0125391483306885,0.5495256781578064,1.1713796854019165
15,0.5239390730857849,1.9894280433654785,0.5770089030265808,1.1134421825408936
16,0.5304250717163086,1.9868614673614502,0.5797991156578064,1.1191774606704712
17,0.527809739112854,1.9754111766815186,0.5676618218421936,1.1336387395858765
18,0.5368413925170898,1.9470653533935547,0.5710100531578064,1.1354578733444214
19,0.5377829074859619,1.947595477104187,0.580078125,1.1067308187484741
20,0.5370506048202515,1.9468879699707031,0.5804966688156128,1.1029245853424072
21,0.5400494933128357,1.9356411695480347,0.5746372938156128,1.11821711063385
22,0.5448966026306152,1.9207905530929565,0.583984375,1.0956207513809204
23,0.5454545617103577,1.9164106845855713,0.5750557780265808,1.1389961242675781
24,0.5458032488822937,1.9034137725830078,0.59765625,1.0805342197418213
25,0.5522544384002686,1.889487385749817,0.5779854655265808,1.1108049154281616
26,0.550754964351654,1.8873157501220703,0.5797991156578064,1.101671576499939
27,0.5542072057723999,1.8911423683166504,0.5788225531578064,1.1080453395843506
28,0.5531959533691406,1.8784137964248657,0.5852399468421936,1.0954986810684204
29,0.5552184581756592,1.8715879917144775,0.5873326063156128,1.1007554531097412
30,0.5568225383758545,1.8625640869140625,0.5814732313156128,1.1073540449142456
31,0.5574851036071777,1.8612689971923828,0.5856584906578064,1.0844558477401733
32,0.5578686594963074,1.8503880500793457,0.5835658311843872,1.1073600053787231
33,0.560309648513794,1.8502804040908813,0.5874720811843872,1.089131236076355
34,0.5613209009170532,1.8458220958709717,0.5954241156578064,1.075685739517212
35,0.566412091255188,1.8427056074142456,0.5958426594734192,1.0770763158798218
36,0.5638664960861206,1.8365085124969482,0.5797991156578064,1.1037307977676392
37,0.56623774766922,1.8261330127716064,0.5947265625,1.0833591222763062
38,0.5681905150413513,1.8293062448501587,0.6011439561843872,1.0748393535614014
39,0.5650172829627991,1.821838140487671,0.5923548936843872,1.0870305299758911
40,0.5700038075447083,1.8137286901474,0.5989118218421936,1.064881443977356
41,0.5680161714553833,1.8165360689163208,0.5897042155265808,1.0836824178695679
42,0.5676326155662537,1.8114571571350098,0.5977957844734192,1.0781126022338867
43,0.5704222917556763,1.8125219345092773,0.6078404188156128,1.0503747463226318
44,0.5720263719558716,1.802890658378601,0.6047711968421936,1.0569775104522705
45,0.5708058476448059,1.8049710988998413,0.5977957844734192,1.0691102743148804
46,0.5695505142211914,1.808495283126831,0.5890067219734192,1.1173144578933716
47,0.5716427564620972,1.7954394817352295,0.6056082844734192,1.0621522665023804
48,0.5748857855796814,1.7871835231781006,0.583984375,1.1009477376937866
49,0.5781985521316528,1.7838449478149414,0.6109095811843872,1.0570224523544312
