epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.41690880060195923,3.2292888164520264,1e-04,0.48107394576072693,1.3703746795654297
1,0.4653669595718384,2.9698851108551025,1e-04,0.5272887349128723,1.344730257987976
2,0.4974224269390106,2.839590311050415,1e-04,0.5094630122184753,1.3086612224578857
3,0.5037960410118103,2.7740254402160645,1e-04,0.5426936745643616,1.2807033061981201
4,0.5089511871337891,2.740574359893799,1e-04,0.5107834339141846,1.3234388828277588
5,0.5127940773963928,2.6999285221099854,1e-04,0.5378521084785461,1.275547742843628
6,0.5203861594200134,2.652252674102783,1e-04,0.5611795783042908,1.2249609231948853
7,0.5299465656280518,2.609529495239258,1e-04,0.5763644576072693,1.199176549911499
8,0.5323835611343384,2.5619313716888428,1e-04,0.5409330725669861,1.2533175945281982
9,0.540912926197052,2.5727832317352295,1e-04,0.5688820481300354,1.2124927043914795
10,0.544099748134613,2.5366899967193604,1e-04,0.5404929518699646,1.2577338218688965
11,0.5430687069892883,2.524761438369751,1e-04,0.5691021084785461,1.2202553749084473
12,0.544099748134613,2.540092706680298,1e-04,0.5499559640884399,1.2318449020385742
13,0.5588152408599854,2.4722561836242676,1e-04,0.5576584339141846,1.2066564559936523
14,0.5530977845191956,2.469470500946045,1e-04,0.5680017471313477,1.1766480207443237
15,0.5629393458366394,2.43912410736084,1e-04,0.5393925905227661,1.2571038007736206
16,0.5554410219192505,2.4397776126861572,1e-04,0.578785240650177,1.1752814054489136
17,0.5625644326210022,2.4221625328063965,1e-04,0.5550175905227661,1.2235653400421143
18,0.5682819485664368,2.397825002670288,1e-04,0.5708626508712769,1.1767596006393433
19,0.5668759942054749,2.4097402095794678,1e-04,0.5666813254356384,1.1798254251480103
0,0.5470053553581238,2.549624443054199,1e-04,0.6036531925201416,1.2200902700424194
1,0.6642609238624573,1.9393327236175537,1e-04,0.6076144576072693,1.139760136604309
2,0.7257474660873413,1.6145316362380981,1e-04,0.7396566867828369,0.7434169054031372
3,0.7668009996414185,1.3840018510818481,1e-04,0.7596830725669861,0.7010942697525024
4,0.7962320446968079,1.2193456888198853,1e-04,0.7339348793029785,0.8286010026931763
5,0.8258506059646606,1.033509373664856,1e-04,0.7612236142158508,0.722515344619751
6,0.8421595096588135,0.8796175718307495,1e-04,0.7590228915214539,0.7653941512107849
7,0.8674665093421936,0.7708340287208557,1e-04,0.7702465057373047,0.754868745803833
8,0.8831193447113037,0.6685755848884583,1e-04,0.7616637349128723,0.7906937003135681
9,0.8915549516677856,0.6138464212417603,1e-04,0.7660651206970215,0.8202705979347229
10,0.9042084813117981,0.5397592186927795,1e-04,0.7902728915214539,0.7507664561271667
11,0.9141438007354736,0.48345106840133667,1e-04,0.7992957830429077,0.721676766872406
12,0.9281094670295715,0.40166357159614563,1e-04,0.7601232528686523,0.981534481048584
13,0.9323273301124573,0.37001997232437134,1e-04,0.7979753613471985,0.8434544801712036
14,0.9502296447753906,0.28404271602630615,5e-05,0.7931337952613831,0.8579304814338684
15,0.9554784893989563,0.24330918490886688,5e-05,0.8129401206970215,0.833591639995575
16,0.9660699367523193,0.18417315185070038,5e-05,0.8100792169570923,0.8790940046310425
17,0.9652263522148132,0.18786245584487915,5e-05,0.797535240650177,0.9519841074943542
18,0.9683194160461426,0.16326437890529633,5e-05,0.8085387349128723,0.8981291055679321
19,0.9715999364852905,0.1590333729982376,5e-05,0.8094190359115601,0.8743290305137634
20,0.9715999364852905,0.15088476240634918,5e-05,0.811839759349823,0.8721819519996643
21,0.9710375666618347,0.1692153811454773,5e-05,0.8025968074798584,0.9249895215034485
22,0.9730058908462524,0.15052878856658936,5e-05,0.7970950603485107,0.9838910102844238
23,0.9750679731369019,0.13753823935985565,5e-05,0.8096390962600708,0.9541845321655273
