epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9906270503997803,0.04505898058414459,1e-05,0.8087587952613831,0.9404094815254211
1,0.992595374584198,0.04078907147049904,1e-05,0.8047975301742554,0.9798957109451294
2,0.9940950274467468,0.03128248453140259,1e-05,0.8083186745643616,0.9457390904426575
3,0.9941887855529785,0.028823642060160637,1e-05,0.8041373491287231,0.9935564994812012
4,0.9945636987686157,0.02880166843533516,1e-05,0.8076584339141846,0.9926710724830627
5,0.994469940662384,0.02571527659893036,1e-05,0.8089788556098938,0.9878053069114685
6,0.9951260685920715,0.026595469564199448,1e-05,0.8050175905227661,1.0217347145080566
7,0.9954072833061218,0.023661822080612183,1e-05,0.8061179518699646,1.0100585222244263
8,0.9954072833061218,0.02609848417341709,1e-05,0.8039172291755676,1.0385022163391113
9,0.9942824840545654,0.031093411147594452,1e-05,0.8111795783042908,1.005496859550476
10,0.9949386119842529,0.026287656277418137,1e-05,0.8054577708244324,1.0364394187927246
11,0.9959696531295776,0.021913055330514908,5e-06,0.8047975301742554,1.0073678493499756
12,0.9963445663452148,0.020423974841833115,5e-06,0.8100792169570923,1.0154976844787598
13,0.9956884384155273,0.020878514274954796,5e-06,0.8098591566085815,1.0241749286651611
14,0.9964382648468018,0.01850651018321514,5e-06,0.8107394576072693,1.016654372215271
15,0.9970943927764893,0.016812380403280258,5e-06,0.8080986142158508,1.0307986736297607
16,0.9970006346702576,0.016586335375905037,5e-06,0.8096390962600708,1.0172886848449707
17,0.9971880912780762,0.014410797506570816,5e-06,0.8100792169570923,1.0288058519363403
18,0.9984065890312195,0.01088153850287199,5e-06,0.8047975301742554,1.0657658576965332
19,0.9962508082389832,0.019211580976843834,5e-06,0.8065580725669861,1.0446401834487915
20,0.9972818493843079,0.015273703262209892,5e-06,0.8098591566085815,1.032376766204834
