epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.13675133883953094,5.329438209533691,1e-04,0.0966109186410904,1.9411406517028809
1,0.13000281155109406,5.308299541473389,1e-04,0.38512325286865234,1.911521315574646
2,0.14556190371513367,5.306107997894287,1e-04,0.1139964759349823,1.9250823259353638
3,0.118474081158638,5.301876544952393,1e-04,0.38798415660858154,1.8676731586456299
4,0.20123723149299622,5.291125297546387,1e-04,0.35563379526138306,1.920461893081665
5,0.13581404089927673,5.292389392852783,1e-04,0.38358274102211,1.9243849515914917
6,0.13037772476673126,5.299210071563721,1e-04,0.38006162643432617,1.9266692399978638
7,0.1545599400997162,5.2976226806640625,1e-04,0.17055457830429077,1.9443113803863525
8,0.15052957832813263,5.290783882141113,1e-04,0.10343309491872787,1.928589940071106
9,0.18970850110054016,5.2829461097717285,1e-04,0.3871038854122162,1.8941899538040161
10,0.15737181901931763,5.298378944396973,1e-04,0.11201584339141846,1.9451844692230225
11,0.18989595770835876,5.2833099365234375,1e-04,0.3455105721950531,1.9271628856658936
12,0.1774299442768097,5.287908554077148,1e-04,0.37940141558647156,1.9178961515426636
13,0.15859030187129974,5.286355972290039,1e-04,0.1967429518699646,1.943723201751709
14,0.1554035097360611,5.28166389465332,5e-05,0.35145246982574463,1.9205608367919922
15,0.1856781393289566,5.27429723739624,5e-05,0.31866195797920227,1.9351367950439453
16,0.18249133229255676,5.274857044219971,5e-05,0.29313379526138306,1.9312348365783691
17,0.21079763770103455,5.287136554718018,5e-05,0.27750879526138306,1.9362126588821411
18,0.19476988911628723,5.284250259399414,5e-05,0.05941901355981827,1.9648932218551636
19,0.20554879307746887,5.28387975692749,5e-05,0.3635563254356384,1.9138566255569458
0,0.1416252702474594,5.636159896850586,1e-05,0.12059859186410904,2.0512802600860596
0,0.18361608684062958,5.354794025421143,1e-04,0.16285210847854614,1.9586585760116577
1,0.20592370629310608,5.200028419494629,1e-04,0.17913731932640076,1.9942188262939453
2,0.22513824701309204,5.122945308685303,1e-04,0.24317781627178192,1.8858771324157715
3,0.23226168751716614,5.080063819885254,1e-04,0.12566021084785461,1.9807679653167725
4,0.22766894102096558,5.0608415603637695,1e-04,0.15184858441352844,1.9735198020935059
5,0.2518511712551117,4.989564895629883,1e-04,0.2407570481300354,1.9198040962219238
6,0.25672510266304016,4.972041130065918,1e-04,0.21258802711963654,1.9541957378387451
7,0.27181553840637207,4.916675090789795,1e-04,0.20576584339141846,1.9407662153244019
8,0.26141157746315,4.908265113830566,1e-04,0.25132042169570923,1.8821359872817993
9,0.26984721422195435,4.89934778213501,1e-04,0.24471831321716309,1.87749445438385
10,0.29281094670295715,4.813241004943848,1e-04,0.24273768067359924,1.9210751056671143
11,0.29177993535995483,4.800655841827393,1e-04,0.25022006034851074,1.9234964847564697
12,0.3022776246070862,4.745121479034424,1e-04,0.2805897891521454,1.8817216157913208
13,0.30874496698379517,4.705539226531982,1e-04,0.26078346371650696,1.8693132400512695
14,0.31352517008781433,4.632313251495361,1e-04,0.3246038854122162,1.7746524810791016
15,0.33611398935317993,4.5789289474487305,1e-04,0.3384683132171631,1.7690038681030273
16,0.3403317928314209,4.590134143829346,1e-04,0.37698063254356384,1.6717585325241089
17,0.3574843108654022,4.503088474273682,1e-04,0.2724471688270569,1.8811187744140625
18,0.361327201128006,4.461544513702393,1e-04,0.31756162643432617,1.7546354532241821
19,0.38176023960113525,4.406634330749512,1e-04,0.4165933132171631,1.5786207914352417
20,0.38117516040802,4.368737697601318,1e-04,0.3646566867828369,1.7101013660430908
21,0.4088480770587921,4.3055524826049805,1e-04,0.3600352108478546,1.7686718702316284
22,0.4142843782901764,4.24129056930542,1e-04,0.43133804202079773,1.5435959100723267
23,0.42037680745124817,4.176918029785156,1e-04,0.41747358441352844,1.5873032808303833
