epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4510263502597809,2.960545778274536,1e-04,0.49295774102211,1.39449143409729
1,0.5340706706047058,2.5822417736053467,1e-04,0.4896566867828369,1.3692772388458252
2,0.5863717198371887,2.355916976928711,1e-04,0.4751320481300354,1.436943769454956
3,0.588996171951294,2.2914087772369385,1e-04,0.53279048204422,1.2717305421829224
4,0.6068047881126404,2.2111294269561768,1e-04,0.4975792169570923,1.3708995580673218
5,0.6198331713676453,2.1282365322113037,1e-04,0.5523767471313477,1.200679063796997
6,0.6369856595993042,2.038950204849243,1e-04,0.5200263857841492,1.302459716796875
7,0.6396101117134094,2.0070900917053223,1e-04,0.5110034942626953,1.3248186111450195
8,0.6561064720153809,1.9223520755767822,1e-04,0.5415933132171631,1.257717251777649
9,0.6642609238624573,1.870189905166626,1e-04,0.549075722694397,1.244198203086853
10,0.6790701746940613,1.7841190099716187,1e-04,0.52970951795578,1.2885693311691284
11,0.6816946268081665,1.7384049892425537,1e-04,0.5680017471313477,1.2088618278503418
12,0.6941606402397156,1.6713567972183228,1e-04,0.5591989159584045,1.219491720199585
13,0.7010028958320618,1.6219669580459595,1e-04,0.5585387349128723,1.2261276245117188
14,0.7176867723464966,1.5713894367218018,1e-04,0.5735034942626953,1.2190932035446167
15,0.7242478132247925,1.5006688833236694,1e-04,0.5228873491287231,1.3720120191574097
16,0.743837296962738,1.3741838932037354,5e-05,0.5310299396514893,1.348990797996521
17,0.7595838308334351,1.3130733966827393,5e-05,0.5561179518699646,1.2821235656738281
18,0.7704564332962036,1.2531242370605469,5e-05,0.53279048204422,1.3592209815979004
19,0.7754241228103638,1.2097002267837524,5e-05,0.5239876508712769,1.4010156393051147
20,0.78226637840271,1.1914691925048828,5e-05,0.54841548204422,1.3034193515777588
21,0.7802043557167053,1.1823104619979858,5e-05,0.5420334339141846,1.3264880180358887
22,0.789671003818512,1.1303671598434448,5e-05,0.5662412047386169,1.279913067817688
23,0.7942637801170349,1.1034862995147705,5e-05,0.5702024698257446,1.280846357345581
24,0.7959508895874023,1.096231460571289,5e-05,0.5409330725669861,1.3892621994018555
25,0.8008248209953308,1.0531188249588013,5e-05,0.5299295783042908,1.4436883926391602
0,0.5091386437416077,2.6716670989990234,1e-04,0.5217869877815247,1.620303750038147
1,0.6516074538230896,1.9744199514389038,1e-04,0.5831866264343262,1.3107783794403076
2,0.7177804708480835,1.6178498268127441,1e-04,0.6034330725669861,1.3314458131790161
3,0.7583653330802917,1.3695552349090576,1e-04,0.5869278311729431,1.3022257089614868
4,0.7901396751403809,1.166184902191162,1e-04,0.6005721688270569,1.380463719367981
5,0.8148842453956604,1.0087887048721313,1e-04,0.6170774698257446,1.3321290016174316
6,0.8442215919494629,0.8696744441986084,1e-04,0.6952024698257446,1.0171027183532715
7,0.8630611896514893,0.73752760887146,1e-04,0.6817781925201416,1.0756940841674805
8,0.8782454133033752,0.6463103890419006,1e-04,0.6522887349128723,1.4827682971954346
9,0.8997094631195068,0.5310549736022949,1e-04,0.6670334339141846,1.3061898946762085
10,0.906551718711853,0.48922842741012573,1e-04,0.6941021084785461,1.2499645948410034
11,0.9180804491043091,0.4266262948513031,1e-04,0.6932218074798584,1.2032134532928467
12,0.9299840927124023,0.3579593896865845,1e-04,0.6837587952613831,1.2915815114974976
13,0.9312025308609009,0.352280855178833,1e-04,0.6610915660858154,1.4281715154647827
14,0.9389820694923401,0.32698336243629456,1e-04,0.6639524698257446,1.474274754524231
15,0.9443246722221375,0.2800186276435852,1e-04,0.7227112650871277,1.1162751913070679
16,0.9469491243362427,0.27570056915283203,1e-04,0.6692341566085815,1.4847749471664429
17,0.9661636352539062,0.16976577043533325,5e-05,0.7211707830429077,1.2650331258773804
18,0.9723498225212097,0.13995040953159332,5e-05,0.7464788556098938,1.1921581029891968
19,0.9778798222541809,0.11400514841079712,5e-05,0.7632042169570923,1.1385819911956787
20,0.9782547354698181,0.11226540058851242,5e-05,0.7471390962600708,1.1705785989761353
21,0.9789108633995056,0.10505387932062149,5e-05,0.7722271084785461,1.0704145431518555
22,0.9800356030464172,0.10198501497507095,5e-05,0.7695862650871277,1.1138559579849243
23,0.9788171052932739,0.10657254606485367,5e-05,0.7568221688270569,1.1248120069503784
24,0.9810666441917419,0.09625715017318726,5e-05,0.765625,1.1158168315887451
25,0.9811603426933289,0.09050580859184265,5e-05,0.7764084339141846,1.1180497407913208
26,0.9839722514152527,0.08063236624002457,5e-05,0.7647446990013123,1.2205827236175537
