epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3174375891685486,3.1171209812164307,1e-04,0.1734095960855484,1.9733774662017822
1,0.44231104850769043,2.5861778259277344,1e-04,0.4026227593421936,1.5615686178207397
2,0.4925117790699005,2.370177984237671,1e-04,0.4026227593421936,1.6959400177001953
3,0.5214522480964661,2.2228493690490723,1e-04,0.3929966390132904,1.5707378387451172
4,0.5414906740188599,2.1120645999908447,1e-04,0.2523716390132904,2.1240782737731934
5,0.5606563091278076,2.0163872241973877,1e-04,0.3295200765132904,2.142090082168579
6,0.582440197467804,1.8958786725997925,1e-04,0.3821149468421936,1.6833534240722656
7,0.5892825722694397,1.8808594942092896,1e-04,0.4541015625,1.385358214378357
8,0.6071915030479431,1.7942990064620972,1e-04,0.3670479953289032,1.6762667894363403
9,0.6211904287338257,1.7213971614837646,1e-04,0.3402622640132904,1.9415429830551147
10,0.6152207851409912,1.7430528402328491,1e-04,0.3109653890132904,2.8318049907684326
11,0.622063159942627,1.6958023309707642,1e-04,0.3989955484867096,1.6359413862228394
12,0.6397975087165833,1.6163493394851685,1e-04,0.31640625,5.794059753417969
13,0.641961932182312,1.5954124927520752,1e-04,0.3438895046710968,2.78074312210083
14,0.652260422706604,1.5674874782562256,1e-04,0.3929966390132904,1.6968004703521729
15,0.6582998633384705,1.5197449922561646,1e-04,0.3106863796710968,2.3753411769866943
16,0.6566939949989319,1.5425848960876465,1e-04,0.3681640625,1.8257967233657837
17,0.6669575572013855,1.5016323328018188,1e-04,0.376953125,2.071984052658081
18,0.6916390061378479,1.344496726989746,5e-05,0.4013671875,1.996541142463684
19,0.713422954082489,1.2495639324188232,5e-05,0.3692801296710968,2.1506950855255127
20,0.7214871644973755,1.2171931266784668,5e-05,0.4122488796710968,1.7763551473617554
21,0.7263047695159912,1.192357063293457,5e-05,0.3797433078289032,1.794982671737671
22,0.7323092818260193,1.161674976348877,5e-05,0.4054129421710968,1.7665691375732422
23,0.7402688264846802,1.1126916408538818,5e-05,0.3996930718421936,1.8684778213500977
24,0.7492057681083679,1.0989967584609985,5e-05,0.3596540093421936,2.7386622428894043
25,0.7542677521705627,1.057508945465088,5e-05,0.3738839328289032,2.43475604057312
26,0.7659626603126526,1.0225715637207031,5e-05,0.3832310140132904,2.165396213531494
27,0.7683714628219604,0.9989373087882996,5e-05,0.4384765625,1.8446248769760132
